,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Python WEB开发,上海·长宁区·新华路,8-12K,1-3年,本科,麦开信息,互联网,Python Redis MySQL 网络爬虫技术,五险一金,/job_detail/0004f592ce1981ab1nZ709i5GVtT.html
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Python爬虫工程师,长沙·长沙县·星城国际,7-12K·13薪,1-3年,本科,长沙麦都网络,在线教育,Go 网络爬虫技术 Scrapy Redis 分布式技术,交通补助，通讯补贴，带薪年假，加班补助，年终奖，定期体检，餐补，全勤奖，零食下午茶，节日福利，五险一金，员工旅游,/job_detail/003456a47a53fba91XR-09i8GFVZ.html
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,云计算软件开发工程师,郑州·金水区·龙子湖校区,15-30K·16薪,3-5年,本科,超聚变技术有限公司,通信/网络设备,Java 容器技术 分布式技术 中级软件工程师 Linux,年终奖，补充医疗保险，带薪年假，节日福利，定期体检，五险一金，加班补助，股票期权，员工旅游,/job_detail/0035f3963598fba91XV83Nu_GFNR.html
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,测试工程师,天津·东丽区·东丽开发区,10-15K·13薪,1-3年,本科,AutoBrain,计算机软件,Python Shell,年终奖，免费班车，员工旅游，股票期权，零食下午茶，带薪年假，全勤奖，节日福利，餐补，五险一金，定期体检，交通补助,/job_detail/0052ffa901ee90a11XV_0tm7E1RS.html
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,高级Python开发工程师,天津·南开区·南开大学,10-15K,经验不限,学历不限,微企信息,计算机软件,Java 分布式技术 容器技术 Linux Unix,员工旅游，定期体检，零食下午茶，带薪年假，年终奖，节日福利，五险一金,/job_detail/005eac94c786a7fc1n172N67F1tQ.html
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Python工程师（爬虫方向）,厦门·集美区·杏林,10-15K,1-3年,大专,瞭风,计算机服务,网络爬虫技术 分布式技术 架构师 Scrapy MySQL,定期体检，节日福利，五险一金，年终奖，补充医疗保险，带薪年假，餐补，加班补助，零食下午茶,/job_detail/0066f773563bf2d21XV639y7ElpX.html
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,python(长沙),长沙·岳麓区·麓谷,13-26K,1-3年,本科,中软国际,计算机软件,Django Flask Oracle MySQL Redis,餐补，加班补助，五险一金，带薪年假，员工旅游，免费班车，定期体检，节日福利，零食下午茶，年终奖,/job_detail/006a413cbf2f69e41XV839q-E1BR.html
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,地图数据后台开发-python,北京·海淀区·西北旺,30-60K,3-5年,本科,腾讯,互联网,python,五险一金，零食下午茶，免费健身房，年终奖，定期体检，节日福利，免费班车，员工旅游，带薪年假，公仔周边活动，餐补，补充医疗保险，免费早晚餐，住房补贴，包吃，交通补助，股票期权,/job_detail/006cc0ddea167c1a1nFy09m7GVtR.html
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,python开发助理/实习生,苏州·虎丘区·科技城,150-200元/天,5天/周6个月,大专,千火科技,计算机软件,视觉图像算法 深度学习算法 算法设计 机器学习算法,餐补，年终奖，全勤奖，节日福利，五险一金，员工旅游，带薪年假,/job_detail/007e0a12907e3c131n1y2t69EVFY.html
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,【高新区】Python讲师,郑州·中原区·五龙口,15-20K,3-5年,大专,马哥教育,在线教育,培训师 Python CSS 线上授课 教育培训,补充医疗保险，定期体检，带薪年假，通讯补贴，零食下午茶，餐补，员工旅游，年终奖，节日福利，交通补助，加班补助，五险，五险一金,/job_detail/0088a2b019f991961nF92Ny_GVtY.html
