xgb预测值,xgb真实值
7.9215426,8.666666666666666
12.440732,15.0
7.291778,5.0
10.227155,14.0
8.576679,6.0
15.158571,15.0
11.823584,15.0
22.208431,15.0
15.158571,37.5
15.016967,14.0
11.495922,12.0
8.959928,13.0
7.7347603,7.0
16.476559,31.25
18.50381,24.5
9.159561,14.0
16.955376,25.0
12.743343,10.0
11.794819,7.5
6.406996,7.0
9.609406,12.0
12.8461275,15.0
9.815156,8.0
9.815156,15.0
9.445302,8.0
15.869387,26.66666666666667
11.065903,25.0
7.401054,7.0
13.213236,15.166666666666664
8.865316,8.0
12.743343,11.0
6.3594036,10.0
10.3809805,20.0
9.159561,14.0
10.446731,14.083333333333336
8.181684,11.666666666666664
8.847926,10.0
14.439061,15.0
10.584458,20.0
9.815156,15.0
8.664577,15.0
14.397362,10.833333333333336
7.7347603,8.0
17.108482,28.33333333333333
8.576679,15.0
8.847926,8.0
9.123919,7.0
8.456198,10.0
12.964041,25.0
7.566297,17.5
10.547436,12.0
7.7347603,10.0
7.7347603,8.0
8.576679,11.666666666666664
14.581847,16.25
10.558731,16.25
9.445302,6.0
8.664577,13.0
12.665375,11.0
13.879299,18.666666666666668
13.659182,15.0
16.92538,15.0
7.3753366,6.0
7.38239,5.0
12.917861,14.083333333333336
9.928092,11.0
13.104316,17.5
8.456198,16.25
10.01396,15.0
7.7347603,8.0
10.558731,13.0
10.227155,8.0
15.213995,15.0
7.9579186,10.0
10.345727,12.0
16.363897,19.5
10.547436,11.0
18.860126,14.166666666666664
6.3594036,7.0
11.065903,10.0
7.7273216,11.0
9.428654,9.0
9.256728,15.0
11.471021,13.0
9.973628,11.666666666666664
12.855206,13.0
9.445302,7.0
9.905042,10.0
12.440732,14.083333333333336
10.7072735,11.0
9.689492,5.0
10.558731,11.666666666666664
10.248442,20.0
20.726004,31.25
11.065903,13.0
13.104316,18.416666666666668
10.446731,17.5
15.74565,15.0
13.213236,23.0
13.884451,13.0
12.868485,25.0
6.448746,10.0
